Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price CAD,Extended Price CAD,
1,1,SM-42TW103CT-ND,TRIMMER 10K OHM 0.25W SMD,,1,0,5.26000,5.26,
2,1,296-26485-1-ND,IC SHIFT REGISTER 8BIT 16SO,,1,0,0.93000,0.93,
3,5,1276-6156-1-ND,RES SMD 0.01 OHM 1% 1/3W 0805,,5,0,0.67000,3.35,
4,7,CR0805-FX-5600ELFCT-ND,RES SMD 560 OHM 1% 1/8W 0805,,7,0,0.15000,1.05,
5,12,CR0805-FX-1002GLFCT-ND,RES SMD 10K OHM 1% 1/8W 0805,,12,0,0.11800,1.42,
6,2,296-38961-1-ND,IC CURRENT SHUNT MONITOR 16VQFN,,2,0,7.02000,14.04,
7,2,S7047-ND,CONN HEADER FMALE 14POS .1" GOLD,,2,0,1.71000,3.42,
8,1,S7049-ND,CONN HEADER FMALE 16POS .1" GOLD,,1,0,1.85000,1.85,
9,1,296-44376-1-ND,MAGNETIC SWITCH OMNIPOL SOT23-3,,1,0,1.90000,1.90,
10,5,1276-1007-1-ND,CAP CER 0.1UF 50V Y5V 0805,,5,0,0.15000,0.75,
11,2,36-8413-ND,HEX STANDOFF 6-32 ALUMINUM 3/8",,2,0,0.96000,1.92,
